Image,Diagnosis
Slide_01.png,Ischemic Renal Infarction
Slide_02.png,Chronic Congestion Of The Liver
Slide_03.png,Pulmonary Edema
Slide_04.png,Microhemorrhages Of The Brain
Slide_05.png,Mixed Thrombus
Slide_06.png,Organizing And Recanalizing Thrombus
Slide_07.png,Hemorrhagic Pulmonary Infarction
Slide_08.png,Focal Serous Pneumonia
Slide_09.png,Lobar Fibrinous Pneumonia
Slide_10.png,Fibrinous Pericarditis
Slide_11.png,Purulent Nephritis
Slide_12.png,Granulation Tissue
Slide_13.png,Foreign Body” Granuloma
Slide_14.png,Myocardial Scar
Slide_15.png,Myocardial Scar
Slide_16.png,Cirrhosis Of The Liver
Slide_17.png,Tuberculous Granuloma
Slide_18.png,Actinomycosis
Slide_19.png,Sarcoidosis Of Lymph Node
Slide_20.png,Allergic Nasal Polyp
Slide_21.png,Hashimoto's Thyroiditis
Slide_22.png,Acute Phlegmonous Appendicitis
Slide_23.png,Liquefactive Necrosis Of The Brain
Slide_24.png,Fat Necrosis Of The Pancreas
Slide_25.png,Coagulative Necrosis Of The Heart
Slide_26.png,Brown Induration Of The Lung
Slide_27.png,Amyloidosis Of Glomeruli Of The Kidney
Slide_28.png,Amyloidosis Of Glomeruli Of The Kidney
Slide_29.png,Icterus Of The Liver
Slide_30.png,Anthracosis Of The Lung
Slide_31.png,Steatosis Of The Liver
Slide_32.png,Hyaline Changes In Corpus Albicans Of The Ovary
Slide_33.png,Brown Atrophy Of Heart
Slide_34.png,Hypertrophy Of Heart
Slide_35.png,Hyperplasia Of Endometrial Mucosa
Slide_36.png,Fibrinoid Necrosis In Peptic Ulcer Of The Stomach
Slide_37.png,Necrosis Of The Lymph Node
Slide_38.png,Intradermal Pigmented Nevus
Slide_39.png,Fibroadenoma Of The Breast
Slide_40.png,Serous Papillary Cystadenoma Of The Ovary
Slide_41.png,Mucinous Cystadenoma Of Ovary
Slide_42.png,Squamous Cell Carcinoma Of The Skin
Slide_43.png,Basal Cell Carcinoma
Slide_44.png,Adenocarcinoma Of The Large Bowel
Slide_45.png,Teratoma Of The Ovary
Slide_46.png,Seminoma Of The Testis
Slide_47.png,Renal Cell Carcinoma
Slide_48.png,Hepatocellular Carcinoma
Slide_49.png,Fibroma Of The Ovary
Slide_50.png,Leiomyoma Of The Uterus
Slide_51.png,Lipoma
Slide_52.png,Chondroma
Slide_53.png,Cavernous Hemangioma Of Liver
Slide_54.png,Osteosarcoma
Slide_55.png,Leiomyosarcoma
Slide_56.png,Neurinoma
Slide_57.png,Meningioma
Slide_58.png,Malignant Melanoma
Slide_59.png,Dysplastic Changes In Uterine Cervix
Slide_60.png,Urothelial Carcinoma
Slide_61.png,Undifferentiated Small Cell Carcinoma Of Lung
Slide_62.png,Invasive Cervical /Squamous Cell / Carcinoma
Slide_63.png,Endometrial Adenocarcinoma
Slide_64.png,Serous Papillary Adenocarcinoma Of The Ovary
Slide_65.png,Invasive Ductal Breast Carcinoma Nos
Slide_66.png,Chronic Myelogenous Leukemia
Slide_67.png,Chronic Lymphocytic Leukemia – Liver
Slide_68.png,"Hodgkin's Disease, Mixed Cellular Type"
Slide_69.png,Thyroid Papillary Adenocarcinoma
Slide_70.png,Choriocarcinoma
Slide_71.png,Squamous Cell Carcinoma Of The Penis
Slide_72.png,Adenocarcinoma Gl. Prostatae
Slide_73.png,"Gastric Cancer, Diffuse Type"
Slide_74.png,Lobular Pneumonia With Abscess Formation
Slide_75.png,Silicosis Of The Lung
Slide_76.png,Pulmonary Emphysema
Slide_77.png,Subacute Glomerulonephritis
Slide_78.png,Chronic Pyelonephritis
Slide_79.png,Fibrocystic Disease Of The Breast
Slide_80.png,Neonatal Respiratory Distress Syndrome (Lung) = Hyaline Membrane
Slide_81.png,Grave's Disease - Diffuse Toxic Goiter
Slide_82.png,Non-Toxic Nodular Colloid Goiter
Slide_83.png,Diabetic Nephropathy – Nodular Glomerulosclerosis
Slide_84.png,Intestinal Metaplasia In The Stomach Mucosa
Slide_85.png,Prostatic Hyperplasia
